Page,Query,Clicks,Impressions,CTR,Position
https://www.manageengine.com/products/eventlog/,eventlog analyzer,4318,20941,20.62%,1.6
https://www.manageengine.com/products/eventlog/,manageengine eventlog analyzer,3453,12047,28.66%,1.1
https://www.manageengine.com/products/eventlog/,event log analyzer,2852,17343,16.44%,1.1
https://www.manageengine.com/products/eventlog/,manageengine log analyzer,775,2384,32.51%,1
https://www.manageengine.com/products/eventlog/about-manageengine.html,"""manageengine"" +""network"" -site:facebook.com -site:youtube.com -site:twitter.com",0,3,0%,1
https://www.manageengine.com/products/eventlog/about-manageengine.html,"""opmanager"" -site:facebook.com -site:youtube.com -site:twitter.com",0,1,0%,1
https://www.manageengine.com/products/eventlog/about-manageengine.html,"""privileged user""",0,2,0%,6
https://www.manageengine.com/products/eventlog/about-manageengine.html,accenture iso 27001 certification,0,1,0%,82
https://www.manageengine.com/products/eventlog/active-directory-log-monitoring.html,active directory logs,407,6745,6.03%,15.1
https://www.manageengine.com/products/eventlog/active-directory-log-monitoring.html,ad logs,125,1127,11.09%,5.8
https://www.manageengine.com/products/eventlog/active-directory-log-monitoring.html,active directory event log,94,1028,9.14%,10.7
https://www.manageengine.com/products/eventlog/active-directory-log-monitoring.html,active directory log,93,1868,4.98%,7.4
https://www.manageengine.com/products/eventlog/advanced-search-video.html,advance video search,0,7,0%,62.4
https://www.manageengine.com/products/eventlog/advanced-search-video.html,advanced compliance search capabilities,0,1,0%,35
https://www.manageengine.com/products/eventlog/advanced-search-video.html,advanced search,0,5,0%,5.4
https://www.manageengine.com/products/eventlog/advanced-search-video.html,advanced search video,0,3,0%,10.3
https://www.manageengine.com/products/eventlog/advanced-threat-analytics.html,advanced threat analytics,12,2941,0.41%,13.6
https://www.manageengine.com/products/eventlog/advanced-threat-analytics.html,advanced threat analytics download,2,45,4.44%,9.1
https://www.manageengine.com/products/eventlog/advanced-threat-analytics.html,advanced threat analysis,1,1776,0.06%,17.4
